Timestamp,Reading
2024-07-31 18:40:40,-0.5 lbs
2024-07-31 18:40:41,
2024-07-31 18:40:43,-0.2 lbs
2024-07-31 18:40:43,-0.2 lbs
2024-07-31 18:40:43,-0.3 lbs
2024-07-31 18:40:43,-0.3 lbs
2024-07-31 18:40:43,-0.3 lbs
2024-07-31 18:40:44,-0.3 lbs
2024-07-31 18:40:44,-0.3 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.4 lbs
2024-07-31 18:40:44,-0.5 lbs
2024-07-31 18:40:44,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:45,-0.5 lbs
2024-07-31 18:40:46,-0.5 lbs
2024-07-31 18:40:46,-0.6 lbs
2024-07-31 18:40:46,-0.6 lbs
2024-07-31 18:40:46,-0.6 lbs
2024-07-31 18:40:46,-0.6 lbs
2024-07-31 18:40:46,-0.6 lbs
2024-07-31 18:40:46,-0.6 lbs
2024-07-31 18:40:46,-0.6 lbs
2024-07-31 18:40:46,-0.3 lbs
2024-07-31 18:40:46,-0.2 lbs
2024-07-31 18:40:46,-0.2 lbs
2024-07-31 18:40:47,-0.1 lbs
2024-07-31 18:40:47,0.2 lbs
2024-07-31 18:40:47,-0.0 lbs
2024-07-31 18:40:47,-0.2 lbs
2024-07-31 18:40:47,-0.2 lbs
2024-07-31 18:40:47,-0.3 lbs
2024-07-31 18:40:47,-0.2 lbs
2024-07-31 18:40:47,-0.2 lbs
2024-07-31 18:40:47,-0.2 lbs
2024-07-31 18:40:47,-0.2 lbs
2024-07-31 18:40:47,-0.1 lbs
2024-07-31 18:40:47,-0.1 lbs
2024-07-31 18:40:48,-0.1 lbs
2024-07-31 18:40:48,-0.2 lbs
2024-07-31 18:40:48,-0.1 lbs
2024-07-31 18:40:48,-0.1 lbs
2024-07-31 18:40:48,-0.2 lbs
2024-07-31 18:40:48,-0.1 lbs
2024-07-31 18:40:48,0.2 lbs
2024-07-31 18:40:48,0.4 lbs
2024-07-31 18:40:48,0.8 lbs
2024-07-31 18:40:48,3.0 lbs
2024-07-31 18:40:48,8.1 lbs
2024-07-31 18:40:49,12.6 lbs
2024-07-31 18:40:49,14.8 lbs
2024-07-31 18:40:49,16.5 lbs
2024-07-31 18:40:49,18.1 lbs
2024-07-31 18:40:49,20.2 lbs
2024-07-31 18:40:49,22.6 lbs
2024-07-31 18:40:49,24.3 lbs
2024-07-31 18:40:49,25.4 lbs
2024-07-31 18:40:49,25.9 lbs
2024-07-31 18:40:49,25.2 lbs
2024-07-31 18:40:49,21.5 lbs
2024-07-31 18:40:50,14.3 lbs
2024-07-31 18:40:50,6.5 lbs
2024-07-31 18:40:50,1.5 lbs
2024-07-31 18:40:50,-0.2 lbs
2024-07-31 18:40:50,-0.7 lbs
2024-07-31 18:40:50,-0.8 lbs
